Angle ;x;y
0;392;129
2;391;130
4;363;130
6;364;130
8;386;134
10;393;137
12;364;132
14;364;133
16;376;137
18;364;134
20;363;135
22;360;134
24;363;136
26;361;136
28;361;137
30;360;137
32;361;138
34;360;139
36;360;139
38;359;139
40;360;141
42;361;143
44;359;142
46;359;142
48;360;145
50;359;145
52;359;146
54;357;145
56;357;146
58;357;147
60;356;146
62;355;147
64;354;146
66;354;147
68;353;147
70;352;147
72;352;148
74;351;148
76;350;148
78;350;148
80;350;155
82;348;148
84;348;155
86;347;156
88;346;156
90;346;156
92;345;153
94;344;153
96;343;153
98;342;154
100;341;154
102;340;154
104;339;153
106;339;153
108;335;162
110;333;163
112;328;172
114;325;174
116;327;166
118;324;168
120;323;167
122;317;174
124;314;176
126;320;164
128;311;173
130;308;173
132;317;160
134;316;159
136;316;157
138;315;156
140;316;154
142;309;157
144;305;158
146;302;158
148;306;153
150;306;152
152;306;150
154;304;149
156;305;146
158;305;145
160;304;144
162;293;145
164;297;142
166;296;141
168;296;139
170;296;137
172;298;135
174;298;134
176;298;132
178;298;130
180;296;129
182;297;127
184;297;125
186;298;123
188;297;122
190;307;122
192;298;118
194;304;118
196;306;117
198;296;112
200;296;110
202;299;110
204;302;109
206;302;107
208;300;104
210;244;70
212;301;101
214;302;99
216;300;96
218;303;95
220;303;93
222;305;92
224;306;90
226;312;94
228;309;88
230;310;86
232;312;85
234;313;84
236;316;85
238;297;50
240;320;83
242;322;83
244;324;84
246;325;82
248;328;84
250;329;84
252;330;81
254;333;84
256;334;83
258;336;84
260;334;61
262;338;78
264;338;60
266;342;78
268;343;62
270;346;79
272;347;78
274;349;79
276;351;78
278;352;79
280;354;79
282;352;97
284;353;97
286;358;84
288;360;84
290;362;84
292;359;96
294;360;96
296;362;95
298;363;95
300;365;95
302;369;91
304;370;92
306;372;92
308;372;95
310;375;93
312;378;93
314;380;93
316;383;92
318;368;108
320;358;118
322;362;116
324;363;116
326;384;103
328;390;101
330;365;117
332;388;106
334;383;110
336;398;105
338;416;100
340;388;113
342;416;106
344;418;108
346;415;111
348;396;118
350;396;120
352;395;122
354;374;125
356;389;125
358;365;128
